"JournalAndType","MeanDiveristy","MeanRich","JrnlType"
"analytica chimica acta OA",0.805879818594104,6.729,"OA"
"analytica chimica acta paywall",0.688197036246582,6.972,"paywall"
"atherosclerosis OA",0.777777777777778,5,"OA"
"atherosclerosis paywall",0.789610555555556,5.259,"paywall"
"atmospheric environment OA",0.901002605385168,18.729,"OA"
"atmospheric environment paywall",0.759962053732501,15.066,"paywall"
"biosensors and bioelectronics OA",0.814814814814815,7,"OA"
"biosensors and bioelectronics paywall",0.649175004724112,4.887,"paywall"
"chemical engineering science OA",0.885998055648038,13.729,"OA"
"chemical engineering science paywall",0.79672881056839,12.774,"paywall"
"chemical physics letters OA",0.828514030612245,10.729,"OA"
"chemical physics letters paywall",0.762607650928687,9.522,"paywall"
"contraception OA",0.619375,3.729,"OA"
"contraception paywall",0.293077283950617,2.108,"paywall"
"cytokine OA",0.705546666666667,3.729,"OA"
"cytokine paywall",0.738656111111111,4.294,"paywall"
"ecological engineering OA",0.794453333333333,6.729,"OA"
"ecological engineering paywall",0.767105578231293,6.406,"paywall"
"energy conversion and management OA",0.833174814814815,7.729,"OA"
"energy conversion and management paywall",0.718785096686823,5.994,"paywall"
"expert systems with applications OA",0.839506172839506,7,"OA"
"expert systems with applications paywall",0.824984731355505,6.988,"paywall"
"food chemistry OA",0.904736412903226,16.729,"OA"
"food chemistry paywall",0.80195025653365,14.238,"paywall"
"gene OA",0.844778858418367,8.729,"OA"
"gene paywall",0.646645043779099,6.856,"paywall"
"international journal of pharmaceutics OA",0.889143674290279,15.729,"OA"
"international journal of pharmaceutics paywall",0.913013085330241,17.676,"paywall"
"journal of asian earth sciences OA",0.611111111111111,3,"OA"
"journal of asian earth sciences paywall",0.444526666666667,2.805,"paywall"
"journal of biomedical informatics OA",0.43165625,2.729,"OA"
"journal of biomedical informatics paywall",0.722965912698413,4.983,"paywall"
"journal of biotechnology OA",0.76212,4.729,"OA"
"journal of biotechnology paywall",0.743995555555556,4.773,"paywall"
"journal of computational physics OA",0.856525,12.729,"OA"
"journal of computational physics paywall",0.806598262156148,10.839,"paywall"
"journal of hydrology OA",0.900320710042051,13.729,"OA"
"journal of hydrology paywall",0.804645547688741,12.399,"paywall"
"journal of non-crystalline solids OA",0.865210272920605,11.729,"OA"
"journal of non-crystalline solids paywall",0.850907781189693,13.98,"paywall"
"journal of structural biology OA",0.619375,3.729,"OA"
"journal of structural biology paywall",0.802408359158478,6.445,"paywall"
"materials letters OA",0.861396274870242,9.729,"OA"
"materials letters paywall",0.583097888702049,6.296,"paywall"
"optical materials OA",0.878621332908163,14.729,"OA"
"optical materials paywall",0.844150169883009,14.543,"paywall"
"research policy OA",0.3645,1.729,"OA"
"research policy paywall",0.4245,1.822,"paywall"
"respiratory medicine OA",0.768633290816327,5.729,"OA"
"respiratory medicine paywall",0.796272052154195,5.965,"paywall"
"sleep medicine OA",0,1,"OA"
"sleep medicine paywall",0.051,0.949,"paywall"
"toxicon OA",0.863207160970897,8.729,"OA"
"toxicon paywall",0.848536177130703,9.234,"paywall"
"vaccine OA",0.89106129476584,16.729,"OA"
"vaccine paywall",0.861689406615196,15.194,"paywall"
"veterinary parasitology OA",0.884498913174737,10.729,"OA"
"veterinary parasitology paywall",0.875510401471717,10.085,"paywall"
"water research OA",0.862825443786982,9.729,"OA"
"water research paywall",0.736487613590104,8.345,"paywall"
"world neurosurgery OA",0.878914141414141,16.729,"OA"
"world neurosurgery paywall",0.829668231764614,12.601,"paywall"
