Richness,InvSimp,Shannon,Even,author,Dataset,BootType
46,19.91121076233184,3.3752819116219057,0.8815873731911992,solo,All Countries,MirrorvPW
43,16.111111111111114,3.2516012758908532,0.864511638804749,solo,All Countries,MirrorvPW
44,10.42703944848717,3.068072279683945,0.8107607114041937,solo,All Countries,MirrorvPW
41,14.174897119341564,3.104177813340435,0.8359007870541494,solo,All Countries,MirrorvPW
51,10.864202836269877,3.229118990456646,0.8212772620385048,solo,All Countries,MirrorvPW
48,12.67867260218535,3.183698499012268,0.8224058864526936,solo,All Countries,MirrorvPW
45,14.472045293701344,3.254521077508892,0.8549539356995262,solo,All Countries,MirrorvPW
39,13.701427003293084,3.121969787401615,0.8521679417350071,solo,All Countries,MirrorvPW
43,19.99624765478424,3.34264312040215,0.8887171694095752,solo,All Countries,MirrorvPW
47,20.653386454183266,3.4064715341324567,0.8847638809014643,solo,All Countries,MirrorvPW
44,14.78519755147468,3.1986108902006363,0.8452565012944927,solo,All Countries,MirrorvPW
44,19.03876651982379,3.3525977977099464,0.8859486764775496,solo,All Countries,MirrorvPW
37,16.75662133142448,3.2134834587921244,0.8899353395820997,solo,All Countries,MirrorvPW
40,12.601684210526317,3.02903668877436,0.8211265037127461,solo,All Countries,MirrorvPW
44,14.322245322245324,3.1845014329066883,0.8415279732187634,solo,All Countries,MirrorvPW
41,10.800000000000002,3.013535992819615,0.8114925302887805,solo,All Countries,MirrorvPW
42,8.648982315648981,2.935724832139852,0.7854425703597012,solo,All Countries,MirrorvPW
39,13.113408151210868,3.068434267204768,0.8375549707062803,solo,All Countries,MirrorvPW
44,12.343297974927674,3.092468544046595,0.817207604060942,solo,All Countries,MirrorvPW
43,11.990393852065322,3.091486839193423,0.8219415995161308,solo,All Countries,MirrorvPW
43,9.08641975308642,2.9101826765182697,0.7737377929920738,solo,All Countries,MirrorvPW
46,10.824231464737792,3.0573829978904654,0.7985555922511098,solo,All Countries,MirrorvPW
47,14.33370660694289,3.2156604431149245,0.8352044585736599,solo,All Countries,MirrorvPW
40,13.481409001956948,3.1013620859322075,0.8407328362203558,solo,All Countries,MirrorvPW
42,15.45148514851485,3.2366992767540017,0.8659671954206987,solo,All Countries,MirrorvPW
42,13.935751295336788,3.148979882459242,0.8424981884582674,solo,All Countries,MirrorvPW
42,10.16940249507551,2.9807837466902916,0.7974979201236362,solo,All Countries,MirrorvPW
43,13.867800329127814,3.166773899882979,0.8419583650095226,solo,All Countries,MirrorvPW
45,17.28,3.3237453958722556,0.8731389779903493,solo,All Countries,MirrorvPW
44,15.385308385308386,3.242708578636029,0.8569096404607063,solo,All Countries,MirrorvPW
45,15.623504574243492,3.28285078587299,0.8623960739085816,solo,All Countries,MirrorvPW
42,9.628251564043465,2.9577928607441812,0.7913467916681818,solo,All Countries,MirrorvPW
41,11.034908471690082,3.0784642594275193,0.8289765767652305,solo,All Countries,MirrorvPW
44,12.612305099030761,3.108468558737795,0.8214357258621829,solo,All Countries,MirrorvPW
43,12.966813079550997,3.120386379161611,0.8296251949322867,solo,All Countries,MirrorvPW
43,19.591115140525837,3.3354615006031687,0.8868077735842864,solo,All Countries,MirrorvPW
43,13.578593272171254,3.176844305661665,0.8446358098326968,solo,All Countries,MirrorvPW
48,15.603328710124822,3.345901174660663,0.8643057193963605,solo,All Countries,MirrorvPW
45,9.969230769230771,3.0332160416424028,0.7968176978635729,solo,All Countries,MirrorvPW
43,10.894357743097238,3.128209167805005,0.8317050599760938,solo,All Countries,MirrorvPW
43,18.113160100586757,3.310848109965023,0.8802637477730975,solo,All Countries,MirrorvPW
43,14.258555133079847,3.1730608307083767,0.84362988756403,solo,All Countries,MirrorvPW
44,10.5783015821763,3.02820357333696,0.800225111922171,solo,All Countries,MirrorvPW
44,9.733643189131211,3.0459219685541585,0.8049073284417625,solo,All Countries,MirrorvPW
43,14.875305623471881,3.1967518819024683,0.8499286886023585,solo,All Countries,MirrorvPW
43,10.236678200692042,2.994395611944357,0.796127703881077,solo,All Countries,MirrorvPW
42,12.86634382566586,3.0893662108155797,0.8265487660288336,solo,All Countries,MirrorvPW
37,12.74691943127962,3.0292534462581724,0.8389150680082597,solo,All Countries,MirrorvPW
41,18.031304347826087,3.2450580090818772,0.8738373595000073,solo,All Countries,MirrorvPW
45,15.477544059124504,3.2315183014872875,0.8489111682927964,solo,All Countries,MirrorvPW
45,14.279009126466754,3.227617185646867,0.8478863556515644,solo,All Countries,MirrorvPW
40,11.515241635687731,3.006355886738239,0.814978077796896,solo,All Countries,MirrorvPW
40,13.992082343626286,3.065690679946195,0.8310628520341741,solo,All Countries,MirrorvPW
42,17.191332788225672,3.244911653333483,0.8681643870984513,solo,All Countries,MirrorvPW
39,16.444444444444443,3.228397942044085,0.8812184027133028,solo,All Countries,MirrorvPW
41,14.192875318066159,3.141378892335468,0.8459183869086334,solo,All Countries,MirrorvPW
44,15.60092807424594,3.227333228244707,0.8528465908044442,solo,All Countries,MirrorvPW
42,17.08813559322034,3.274052964921943,0.8759610397094555,solo,All Countries,MirrorvPW
43,13.695825049701789,3.1717991234656013,0.8432944341970287,solo,All Countries,MirrorvPW
41,14.770334928229664,3.204829135082021,0.8630044274127195,solo,All Countries,MirrorvPW
43,19.491659350307284,3.347030852066582,0.8898837469724452,solo,All Countries,MirrorvPW
41,11.520123839009289,3.04223965931604,0.8192219255935816,solo,All Countries,MirrorvPW
39,13.261081344374086,3.061039566791435,0.8355365249620563,solo,All Countries,MirrorvPW
41,12.030545818728092,3.0847899515410395,0.8306799750028023,solo,All Countries,MirrorvPW
40,14.551515151515154,3.1597953647996646,0.8565732234149795,solo,All Countries,MirrorvPW
45,9.95921052631579,3.0171358482834614,0.7925934743075961,solo,All Countries,MirrorvPW
