"JrnlType","FirstLastIncome","N","Pcnt","cumPcnt"
"OA","High+High",483,72.9607250755287,72.9607250755287
"OA","Upper middle+High",62,9.36555891238671,82.3262839879154
"OA","Upper middle+Upper middle",53,8.00604229607251,90.3323262839879
"OA","Lower middle+High",20,3.02114803625378,93.3534743202417
"OA","Lower middle+Lower middle",17,2.56797583081571,95.9214501510574
"OA","High+Upper middle",12,1.81268882175227,97.7341389728097
"OA","Low+High",6,0.906344410876133,98.6404833836858
"OA","High+Lower middle",5,0.755287009063444,99.3957703927492
"OA","Lower middle+Upper middle",4,0.604229607250755,100
"PW","High+High",10730,43.1270096463022,43.1270096463022
"PW","Upper middle+Upper middle",8088,32.508038585209,75.6350482315112
"PW","Upper middle+High",3119,12.5361736334405,88.1712218649518
"PW","Lower middle+Lower middle",923,3.70980707395498,91.8810289389068
"PW","High+Upper middle",845,3.39630225080386,95.2773311897106
"PW","Lower middle+High",529,2.12620578778135,97.403536977492
"PW","High+Lower middle",260,1.04501607717042,98.4485530546624
"PW","Upper middle+Lower middle",174,0.69935691318328,99.1479099678456
"PW","Lower middle+Upper middle",101,0.405948553054662,99.5538585209003
"PW","Low+High",49,0.196945337620579,99.7508038585209
"PW","High+Low",26,0.104501607717042,99.8553054662379
"PW","Lower middle+Low",13,0.0522508038585209,99.9075562700965
"PW","Upper middle+Low",13,0.0522508038585209,99.959807073955
"PW","Low+Lower middle",6,0.0241157556270096,99.983922829582
"PW","Low+Low",4,0.0160771704180064,100
